year,body,kind,description
-1174,Jupiter,due-east,Jupiter rises due east over Giza
-1171,Saturn,due-east,Saturn rises due east over Giza
-1168,Jupiter,due-east,Jupiter rises due east over Giza
-1162,Jupiter,due-east,Jupiter rises due east over Giza
-1157,Jupiter,due-east,Jupiter rises due east over Giza
-1155,Saturn,due-east,Saturn rises due east over Giza
-1150,Jupiter,due-east,Jupiter rises due east over Giza
-1145,Jupiter,due-east,Jupiter rises due east over Giza
-1141,Saturn,due-east,Saturn rises due east over Giza
-1140,Uranus,due-east,Uranus rises due east over Giza
-1138,Jupiter,due-east,Jupiter rises due east over Giza
-1133,Jupiter,due-east,Jupiter rises due east over Giza
-1126,Jupiter,due-east,Jupiter rises due east over Giza
-1126,Saturn,due-east,Saturn rises due east over Giza
-1121,Jupiter,due-east,Jupiter rises due east over Giza
-1115,Jupiter,due-east,Jupiter rises due east over Giza
-1112,Saturn,due-east,Saturn rises due east over Giza
-1109,Jupiter,due-east,Jupiter rises due east over Giza
-1104,Neptune,due-east,Neptune rises due east over Giza
-1103,Jupiter,due-east,Jupiter rises due east over Giza
-1098,Uranus,due-east,Uranus rises due east over Giza
-1097,Jupiter,due-east,Jupiter rises due east over Giza
-1096,Saturn,due-east,Saturn rises due east over Giza
-1091,Jupiter,due-east,Jupiter rises due east over Giza
-1085,Jupiter,due-east,Jupiter rises due east over Giza
-1082,Saturn,due-east,Saturn rises due east over Giza
-1079,Jupiter,due-east,Jupiter rises due east over Giza
-1074,Jupiter,due-east,Jupiter rises due east over Giza
-1067,Jupiter,due-east,Jupiter rises due east over Giza
-1067,Saturn,due-east,Saturn rises due east over Giza
-1062,Jupiter,due-east,Jupiter rises due east over Giza
-1056,Uranus,due-east,Uranus rises due east over Giza
-1055,Jupiter,due-east,Jupiter rises due east over Giza
-1053,Saturn,due-east,Saturn rises due east over Giza
-1050,Jupiter,due-east,Jupiter rises due east over Giza
-1043,Jupiter,due-east,Jupiter rises due east over Giza
-1038,Jupiter,due-east,Jupiter rises due east over Giza
-1038,Saturn,due-east,Saturn rises due east over Giza
-1032,Jupiter,due-east,Jupiter rises due east over Giza
-1026,Jupiter,due-east,Jupiter rises due east over Giza
-1023,Saturn,due-east,Saturn rises due east over Giza
-1022,Neptune,due-east,Neptune rises due east over Giza
-1020,Jupiter,due-east,Jupiter rises due east over Giza
-1014,Jupiter,due-east,Jupiter rises due east over Giza
-1014,Uranus,due-east,Uranus rises due east over Giza
-1008,Jupiter,due-east,Jupiter rises due east over Giza
-1008,Saturn,due-east,Saturn rises due east over Giza
-1002,Jupiter,due-east,Jupiter rises due east over Giza
-996,Jupiter,due-east,Jupiter rises due east over Giza
-994,Saturn,due-east,Saturn rises due east over Giza
-991,Jupiter,due-east,Jupiter rises due east over Giza
-984,Jupiter,due-east,Jupiter rises due east over Giza
-979,Jupiter,due-east,Jupiter rises due east over Giza
-979,Saturn,due-east,Saturn rises due east over Giza
-972,Jupiter,due-east,Jupiter rises due east over Giza
-972,Uranus,due-east,Uranus rises due east over Giza
-967,Jupiter,due-east,Jupiter rises due east over Giza
-965,Saturn,due-east,Saturn rises due east over Giza
-960,Jupiter,due-east,Jupiter rises due east over Giza
-955,Jupiter,due-east,Jupiter rises due east over Giza
-949,Jupiter,due-east,Jupiter rises due east over Giza
-949,Saturn,due-east,Saturn rises due east over Giza
-943,Jupiter,due-east,Jupiter rises due east over Giza
