key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-903080,Media/Mad(aya) (region),"region, label",pin,35.04824,48.91933,-750,640,0,362.4,https://pleiades.stoa.org/places/903080,
pl-934295045,Gird-i Rostam,archaeological-site,pin,35.75280,45.91570,-3350,2100,0,365.2,https://pleiades.stoa.org/places/934295045,
pl-902985,Alvand/Orontes/Oroandes M.,mountain,pin,33.54501,50.20894,-550,2100,0,366.1,https://pleiades.stoa.org/places/902985,
pl-894008,Idu/Diacira/Hit,settlement,pin,33.64360,42.82150,-2000,2000,0,367.0,https://pleiades.stoa.org/places/894008,
pl-903037,Gurbayigan/[Jurbadhakan],settlement,pin,33.45265,50.28687,-30,640,0,369.9,https://pleiades.stoa.org/places/903037,
pl-393135871,Jarmo,settlement,pin,35.56667,44.91667,-9000,2100,0,371.3,https://pleiades.stoa.org/places/393135871,
pl-955698086,Jamjamāl,archaeological-site,pin,35.53669,44.83501,1700,2100,0,371.4,https://pleiades.stoa.org/places/955698086,
pl-912798,'Akkaz,"island, settlement, port",pin,29.35497,47.91585,-550,300,0,373.4,https://pleiades.stoa.org/places/912798,
pl-912964,Tigris/Diglitus (river),river,pin,34.92380,43.71230,-6200,2100,0,374.8,https://pleiades.stoa.org/places/912964,
pl-796733962,Al-Khiḍr  ,archaeological-site,pin,29.46570,48.28800,1700,2100,0,376.1,https://pleiades.stoa.org/places/796733962,
pl-912851,Failaka/Tell Khazne,settlement,pin,29.43370,48.27449,-750,1999,0,378.7,https://pleiades.stoa.org/places/912851,
pl-50163780,Tell F6 at Failaka,"temple-2, archaeological-site, palace, tell",pin,29.43184,48.27938,-2000,-1000,0,379.1,https://pleiades.stoa.org/places/50163780,
pl-664789877,Sa‘ad wa Sa‘ayd,"findspot, archaeological-site",pin,29.43040,48.27790,1700,2100,0,379.2,https://pleiades.stoa.org/places/664789877,
pl-300035018,Rabana-Merquly,fortified-settlement,pin,35.75060,45.22774,-100,-1,0,380.0,https://pleiades.stoa.org/places/300035018,
pl-799864070,Qarah Jatān,findspot,pin,35.74336,45.19302,1700,2100,0,380.2,https://pleiades.stoa.org/places/799864070,
pl-912948,Tang-i Sarvak,temple,pin,30.97673,50.14207,-30,300,0,380.6,https://pleiades.stoa.org/places/912948,
pl-912841,E-kara/Icarus (island),island,pin,29.43416,48.33120,-750,2100,0,381.0,https://pleiades.stoa.org/places/912841,
pl-912803,al-Qusur,settlement,pin,29.43876,48.34368,300,640,0,381.1,https://pleiades.stoa.org/places/912803,
