key,name,kind,tier,lat,lon,km,mentions,sources,in,matched_as,unsearchable_forms,uri,first_seen
pl-540932,Manika,"fort, tower (deprecated)",pin,38.50162,23.64561,58.0,0,0,,,0,https://pleiades.stoa.org/places/540932,
pl-570458,Manthouria,settlement,pin,37.40959,22.3974,133.3,0,0,,,0,https://pleiades.stoa.org/places/570458,
pl-580022,Marathonian Pedion,plain,wash,38.14313,23.97366,27.9,0,0,,,0,https://pleiades.stoa.org/places/580022,
pl-163292061,Marble Quarries at Karystos,quarry,pin,38.0377,24.4469,63.3,0,0,,,0,https://pleiades.stoa.org/places/163292061,
pl-570461,Marios,settlement,pin,37.04258,22.81937,131.8,0,0,,,0,https://pleiades.stoa.org/places/570461,
pl-540934,Markesi,"temple, sanctuary, shrine, monument, tomb (deprecated)",pin,38.97461,24.48427,128.4,0,0,,,0,https://pleiades.stoa.org/places/540934,
pl-716756355,Marmara sanctuary,sanctuary (religious center)|archaeological site,pin,38.1435,22.35666,121.3,0,0,,,0,https://pleiades.stoa.org/places/716756355,
pl-570462,Marmarion,settlement|quarry,pin,38.04903,24.3209,52.5,0,0,,,0,https://pleiades.stoa.org/places/570462,
pl-599788,Marpessa (mountain),mountain,pin,37.04694,25.18,165.1,0,0,,,0,https://pleiades.stoa.org/places/599788,
pl-570463,Mases,settlement,pin,37.41787,23.14219,81.3,0,0,,,0,https://pleiades.stoa.org/places/570463,
pl-540937,Mauragani,tower (defensive),pin,39.19858,23.59888,135.5,0,0,,,0,https://pleiades.stoa.org/places/540937,
pl-570465,Mausos,settlement,pin,37.84603,22.85759,77.8,0,0,,,0,https://pleiades.stoa.org/places/570465,
pl-540938,Mavrovouni,sanctuary (religious center),pin,38.22821,23.03668,66.3,0,0,,,0,https://pleiades.stoa.org/places/540938,
pl-580023,Mazi,tower (defensive),pin,38.16357,23.42472,33.2,0,0,,,1,https://pleiades.stoa.org/places/580023,
pl-540939,Medeon,wall (defensive)|settlement|archaeological site|acropolis,pin,38.36659,22.68388,100.7,0,0,,,1,https://pleiades.stoa.org/places/540939,
pl-540940,Medeon?,settlement,pin,38.39108,23.17781,66.0,0,0,,,1,https://pleiades.stoa.org/places/540940,
pl-580024,Mega Helos,"wetland (swamp, marsh, or bog)",pin,38.15046,24.0235,31.9,0,0,,,0,https://pleiades.stoa.org/places/580024,
pl-75275879,Megali Koryfi,wall (defensive)|archaeological site,pin,37.69523,23.51895,36.9,0,0,,,0,https://pleiades.stoa.org/places/75275879,
pl-775133290,Megali Magoula,tomb|settlement|archaeological site,pin,37.50165,23.42374,59.9,0,0,,,0,https://pleiades.stoa.org/places/775133290,
pl-538278634,Megalopolis Lignite Mines,archaeological site,pin,37.40049,22.09663,157.5,0,0,,,0,https://pleiades.stoa.org/places/538278634,
pl-570469,Megaricus Sinus,"water, open",wash,37.75,23.25,49.3,0,0,,,0,https://pleiades.stoa.org/places/570469,
pl-570470,Megaris,region|map label location,pin,38.03472,23.21145,45.6,0,0,,,0,https://pleiades.stoa.org/places/570470,
pl-570471,Meiganitas (river),"river, drainage",pin,38.24873,22.04977,149.7,0,0,,,0,https://pleiades.stoa.org/places/570471,
pl-599791,Melanes,quarry,pin,37.08688,25.44183,181.1,0,0,,,0,https://pleiades.stoa.org/places/599791,
pl-570473,Melangeia,settlement,pin,37.64261,22.41663,121.2,0,0,,,0,https://pleiades.stoa.org/places/570473,
pl-540941,Meliteia,settlement,pin,39.0384,22.45671,161.2,0,0,,,0,https://pleiades.stoa.org/places/540941,
pl-570475,Melos (island),island,pin,36.71256,24.42322,154.2,0,0,,,1,https://pleiades.stoa.org/places/570475,
pl-570474,Melos (settlement),settlement,pin,36.74386,24.42328,151.0,0,0,,,2,https://pleiades.stoa.org/places/570474,
pl-570476,Melpeia,sanctuary (religious center),pin,37.43148,21.96314,166.9,0,0,,,0,https://pleiades.stoa.org/places/570476,
pl-540942,Mendenitsa,settlement,pin,38.75391,22.63352,128.2,0,0,,,0,https://pleiades.stoa.org/places/540942,
pl-570477,Menelaion,sanctuary (religious center)|temple,pin,37.06574,22.45348,151.8,0,0,,,0,https://pleiades.stoa.org/places/570477,
pl-580026,Merenda,fort,pin,37.8549,23.94838,24.1,0,0,,,0,https://pleiades.stoa.org/places/580026,
pl-580027,Mesogaia,region,wash,38.125,23.875,20.3,0,0,,,0,https://pleiades.stoa.org/places/580027,
