key,name,kind,tier,lat,lon,from,until,locations,km,uri,why
pl-491651,Lete,settlement,pin,40.74493,22.97808,-750,300,0,52.1,https://pleiades.stoa.org/places/491651,
pl-501585,Pyrgoi,"fort-2, settlement-modern",pin,41.25238,24.02465,-30,2099,0,52.1,https://pleiades.stoa.org/places/501585,
pl-491681,Palatianon,"settlement, archaeological-site",pin,41.14602,22.90344,-330,640,0,52.5,https://pleiades.stoa.org/places/491681,
pl-501420,Gajtaninovo,fort,pin,41.44920,23.69581,-30,300,0,52.5,https://pleiades.stoa.org/places/501420,
pl-501492,Lâki,mine,pin,41.44592,23.72164,-30,640,0,52.9,https://pleiades.stoa.org/places/501492,
pl-491668,Muletarovo,settlement,pin,41.44714,23.26408,-30,300,0,53.4,https://pleiades.stoa.org/places/491668,
pl-501527,Nikesiane,settlement,pin,40.93948,24.13195,-550,300,0,53.4,https://pleiades.stoa.org/places/501527,
pl-502840,Untitled,bridge,wash,40.86761,24.11309,-30,640,0,53.4,https://pleiades.stoa.org/places/502840,
pl-501518,Methone (Thracian),"settlement, settlement-modern",pin,40.86500,24.11290,-30,2099,0,53.5,https://pleiades.stoa.org/places/501518,
pl-491616,Herakleia Sintike,settlement,pin,41.45002,23.26551,-550,1999,0,53.7,https://pleiades.stoa.org/places/491616,
pl-491555,Bragylai,settlement,pin,41.00115,22.85102,-30,640,0,54.4,https://pleiades.stoa.org/places/491555,
pl-526055597,Derveni tombs,"findspot, cemetery",pin,40.71770,22.96589,-330,-30,0,54.6,https://pleiades.stoa.org/places/526055597,
pl-481923,Nestos (river),river,wash,41.50000,23.50000,,,0,55.5,https://pleiades.stoa.org/places/481923,
pl-491684,Parorbelia,"district, label",pin,41.26108,22.93315,-330,640,0,55.6,https://pleiades.stoa.org/places/491684,
pl-491636,Kissos (mountain),mountain,pin,40.58352,23.11838,1700,2100,0,56.2,https://pleiades.stoa.org/places/491636,
pl-501361,Arnai/Turris Calarnea,settlement,pin,40.49636,23.58912,-550,300,0,56.4,https://pleiades.stoa.org/places/501361,
pl-501446,Kalambaki,settlement,pin,41.05745,24.17047,-30,300,0,56.5,https://pleiades.stoa.org/places/501446,
pl-501651,Tripolis,settlement,pin,41.14468,24.14890,-30,300,0,56.7,https://pleiades.stoa.org/places/501651,
pl-501499,Loutra Eleutheron,fort,pin,40.73741,24.08277,-30,300,0,56.9,https://pleiades.stoa.org/places/501499,
pl-501548,Paleokhori,settlement,pin,40.93845,24.17613,-30,640,0,57.1,https://pleiades.stoa.org/places/501548,
pl-491720,Sintike,"region, label",pin,41.46868,23.19913,-550,300,0,57.8,https://pleiades.stoa.org/places/491720,
pl-491639,Klitai,settlement,pin,40.85720,22.82482,-550,300,0,58.7,https://pleiades.stoa.org/places/491639,
pl-66861929,Blatades Monastery,"monastery, church",pin,40.65172,22.97106,1200,1450,0,58.8,https://pleiades.stoa.org/places/66861929,
pl-491665,Moryllos,settlement,pin,40.90058,22.80819,-330,300,0,59.0,https://pleiades.stoa.org/places/491665,
pl-501461,Kato Khortokopi,settlement,pin,40.93727,24.20411,300,640,0,59.4,https://pleiades.stoa.org/places/501461,
pl-501669,Zygaktes? (river),river,pin,41.09187,24.20636,2000,2099,0,60.0,https://pleiades.stoa.org/places/501669,
pl-501368,Aulon,"settlement, settlement-modern",pin,40.88759,24.20167,-330,2100,0,60.1,https://pleiades.stoa.org/places/501368,
pl-507469,Stratoni (Stratonikeia/Stratonike?),"settlement, settlement-modern",pin,40.51377,23.82538,43,2099,0,60.5,https://pleiades.stoa.org/places/507469,
pl-501355,Apollonia,settlement,pin,40.74417,24.13768,-550,2100,0,60.5,https://pleiades.stoa.org/places/501355,
pl-491597,Gallicum,station,pin,40.79406,22.83031,-30,640,0,60.6,https://pleiades.stoa.org/places/491597,
pl-501631,Symbolon (mountain),"mountain, label",pin,40.83788,24.19154,,,0,60.7,https://pleiades.stoa.org/places/501631,
pl-361097850,Latomos Monastery,church,pin,40.64179,22.95230,-30,1453,0,60.7,https://pleiades.stoa.org/places/361097850,
pl-74062405,Church of St. Nicholas Orphanos,"church-2, church",pin,40.63767,22.95621,1200,2100,0,60.8,https://pleiades.stoa.org/places/74062405,
pl-193679552,Byzantine Bath,bath,pin,40.64003,22.95346,850,2100,0,60.8,https://pleiades.stoa.org/places/193679552,
pl-361097851,Church of Prophet Elijah,"church-2, church",pin,40.64095,22.94856,1200,1450,0,61.0,https://pleiades.stoa.org/places/361097851,
pl-501464,Kepia,sanctuary,pin,40.90744,24.21892,-330,300,0,61.1,https://pleiades.stoa.org/places/501464,
pl-170580013,"Church of Saint Catherine, Thessaloniki","church-2, church",pin,40.64318,22.94432,1200,1450,0,61.1,https://pleiades.stoa.org/places/170580013,
pl-115782359,Church of Saint Demetrius,"church-2, church",pin,40.63882,22.94786,300,1453,0,61.2,https://pleiades.stoa.org/places/115782359,
pl-264924632,Rotunda of Galerius,"tomb, temple-2",pin,40.63333,22.95292,300,1453,0,61.3,https://pleiades.stoa.org/places/264924632,
pl-664535672,Church of Saint Panteleimon,church,pin,40.63310,22.95120,1200,1450,0,61.4,https://pleiades.stoa.org/places/664535672,
pl-501467,Khoristi,settlement,pin,41.13883,24.20945,-30,300,0,61.4,https://pleiades.stoa.org/places/501467,
pl-361097849,Arch of Galerius,arch,pin,40.63220,22.95180,284,640,0,61.4,https://pleiades.stoa.org/places/361097849,
pl-688857980,Roman forum at Thessalonica,"archaeological-site, forum",pin,40.63770,22.94589,-30,300,0,61.4,https://pleiades.stoa.org/places/688857980,
pl-55417173,Church of the Acheiropoietos,"church-2, church",pin,40.63500,22.94809,300,1453,0,61.5,https://pleiades.stoa.org/places/55417173,
pl-628342669,"Church of the Saviour, Thessaloniki",church-2,pin,40.63210,22.95088,1300,2099,0,61.5,https://pleiades.stoa.org/places/628342669,
pl-630598189,Temple of Aphrodite (Thessalonica),temple-2,pin,40.64032,22.94067,-30,300,0,61.6,https://pleiades.stoa.org/places/630598189,
pl-563800136,Church of the Holy Apostles,"church-2, church",pin,40.64279,22.93749,1200,2100,0,61.6,https://pleiades.stoa.org/places/563800136,
pl-834862589,Church of Panagia Chalkeon,"church-2, church",pin,40.63683,22.94367,850,1450,0,61.6,https://pleiades.stoa.org/places/834862589,
pl-332324146,"Hagia Sophia, Thessaloniki","church-2, church",pin,40.63284,22.94709,-30,1453,0,61.7,https://pleiades.stoa.org/places/332324146,
pl-491741,Thessalonica,settlement,pin,40.62834,22.95288,-750,2100,0,61.7,https://pleiades.stoa.org/places/491741,
pl-507480,Zereia/Zeira,"unlocated, fort",wash,40.44985,23.38293,-330,-30,0,61.8,https://pleiades.stoa.org/places/507480,
pl-491561,Chalcidice,"cape, region, label",pin,40.44300,23.40811,-550,640,0,62.3,https://pleiades.stoa.org/places/491561,
pl-501328,Ag. Athanasios,settlement,pin,41.08161,24.24294,-30,640,0,62.9,https://pleiades.stoa.org/places/501328,
pl-491575,Doiran,settlement,pin,41.17583,22.77645,-30,300,0,63.7,https://pleiades.stoa.org/places/491575,
pl-491737,Tauriana,settlement,pin,40.99806,22.73400,-330,300,0,64.2,https://pleiades.stoa.org/places/491737,
pl-491732,Strepsa,settlement,pin,40.48320,23.13851,-550,-30,0,64.9,https://pleiades.stoa.org/places/491732,
pl-491683,Paroikopolis/Parthikopolis,settlement,pin,41.56112,23.27785,-330,640,0,65.0,https://pleiades.stoa.org/places/491683,
pl-501427,Hadrianopolis,settlement,pin,41.14048,24.25764,-30,1999,0,65.4,https://pleiades.stoa.org/places/501427,
pl-491522,Anthemous (river),river,pin,40.48052,23.12705,2000,2099,0,65.6,https://pleiades.stoa.org/places/491522,
pl-501482,Krenides/Philippi/Col. Augusta Iulia Philippensis,"settlement, archaeological-site",pin,41.01265,24.28464,-550,2099,0,65.7,https://pleiades.stoa.org/places/501482,
